Date,Price,Open,High,Low,Vol.,Change %,EPU,GPRD,Gold
2023-11-17,"36,595.4","36,161.8","36,690.6","35,875.2",51.37K,1.20%,211.096236111179,149.48410034179688,1981.5999755859375
2023-11-16,"36,161.2","37,873.9","37,907.6","35,561.6",66.92K,-4.52%,211.096236111179,170.8645477294922,1983.9000244140625
2023-11-15,"37,874.9","35,549.3","37,954.1","35,379.6",75.51K,6.54%,211.096236111179,130.60302734375,1960.0999755859375
2023-11-14,"35,549.3","36,478.3","36,744.5","34,984.3",63.56K,-2.55%,211.096236111179,148.2277374267578,1961.800048828125
2023-11-13,"36,478.3","37,067.8","37,404.6","36,358.4",44.55K,-1.58%,211.096236111179,131.046630859375,1945.5
2023-11-12,"37,064.4","37,149.0","37,215.3","36,761.9",21.45K,-0.23%,211.096236111179,128.3940887451172,1932.5999755859375
2023-11-11,"37,150.5","37,306.3","37,401.3","36,767.6",29.53K,-0.41%,211.096236111179,161.4616241455078,1932.5999755859375
2023-11-10,"37,303.0","36,700.5","37,496.1","36,347.2",59.56K,1.64%,211.096236111179,180.9846649169922,1932.5999755859375
2023-11-09,"36,700.5","35,636.9","37,942.0","35,578.1",115.56K,2.98%,211.096236111179,201.47996520996097,1964.199951171875
2023-11-08,"35,636.9","35,426.2","36,050.2","35,148.8",46.33K,0.60%,211.096236111179,132.50270080566406,1951.5
2023-11-07,"35,426.1","35,042.1","35,877.9","34,536.9",53.49K,1.10%,211.096236111179,140.21450805664062,1966.800048828125
2023-11-06,"35,042.0","35,020.3","35,275.6","34,742.9",29.81K,0.06%,211.096236111179,182.9025115966797,1981.5999755859375
2023-11-05,"35,019.4","35,065.8","35,360.2","34,550.0",31.02K,-0.13%,211.096236111179,92.95470428466795,1991.5
2023-11-04,"35,065.8","34,718.6","35,242.2","34,601.1",23.80K,1.00%,211.096236111179,157.24212646484375,1991.5
2023-11-03,"34,718.7","34,931.4","34,940.6","34,124.2",54.54K,-0.61%,211.096236111179,174.9210662841797,1991.5
2023-11-02,"34,931.4","35,423.8","35,907.6","34,357.4",63.66K,-1.39%,211.096236111179,219.58306884765625,1985.5999755859375
2023-11-01,"35,423.8","34,648.3","35,557.5","34,138.7",71.66K,2.23%,211.096236111179,251.7322540283203,1978.800048828125
2023-10-31,"34,650.6","34,478.9","34,704.6","34,053.9",43.40K,0.50%,193.0310287624587,172.08143615722656,1985.199951171875
2023-10-30,"34,477.9","34,526.7","34,853.3","34,089.5",45.20K,-0.14%,193.0310287624587,205.43055725097656,1996.199951171875
2023-10-29,"34,526.7","34,082.6","34,737.9","33,937.6",27.72K,1.30%,193.0310287624587,133.1291961669922,1988.5999755859375
2023-10-28,"34,082.6","33,901.6","34,387.8","33,867.3",22.00K,0.53%,193.0310287624587,173.5397491455078,1988.5999755859375
2023-10-27,"33,901.8","34,153.7","34,245.8","33,423.6",47.33K,-0.74%,193.0310287624587,251.86463928222656,1988.5999755859375
2023-10-26,"34,153.7","34,497.6","34,826.0","33,749.9",56.62K,-0.99%,193.0310287624587,168.43563842773438,1987.199951171875
2023-10-25,"34,496.8","33,917.0","35,123.9","33,713.4",75.81K,1.71%,193.0310287624587,208.08998107910156,1984.0999755859375
2023-10-24,"33,917.0","33,037.3","35,191.4","32,866.5",159.08K,2.65%,193.0310287624587,250.0051116943359,1975.0
2023-10-23,"33,041.8","29,984.2","34,375.6","29,891.4",133.46K,10.20%,193.0310287624587,312.774658203125,1976.300048828125
2023-10-22,"29,984.2","29,912.7","30,193.4","29,713.6",29.07K,0.24%,193.0310287624587,105.160888671875,1982.5
2023-10-21,"29,912.9","29,674.7","30,264.8","29,469.1",34.68K,0.80%,193.0310287624587,251.51968383789065,1982.5
2023-10-20,"29,674.5","28,724.0","30,165.9","28,586.1",82.68K,3.31%,193.0310287624587,298.6288146972656,1982.5
2023-10-19,"28,723.0","28,321.8","28,883.8","28,170.2",50.10K,1.42%,193.0310287624587,338.8517150878906,1968.4000244140625
2023-10-18,"28,321.7","28,405.2","28,876.0","28,169.0",45.01K,-0.29%,193.0310287624587,333.0094299316406,1955.300048828125
2023-10-17,"28,403.6","28,508.3","28,608.5","28,096.9",53.42K,-0.37%,193.0310287624587,274.5221862792969,1922.699951171875
2023-10-16,"28,509.7","27,161.2","29,969.5","27,119.7",119.18K,4.96%,193.0310287624587,290.3445739746094,1921.0999755859375
2023-10-15,"27,161.2","26,852.8","27,286.9","26,812.6",21.95K,1.15%,193.0310287624587,154.47207641601562,1927.4000244140625
2023-10-14,"26,852.8","26,863.5","26,975.7","26,805.1",13.56K,-0.04%,193.0310287624587,216.0370178222656,1927.4000244140625
2023-10-13,"26,863.5","26,761.1","27,114.8","26,682.9",33.66K,0.38%,193.0310287624587,287.3145446777344,1927.4000244140625
2023-10-12,"26,761.1","26,878.2","26,942.8","26,565.3",32.75K,-0.43%,193.0310287624587,218.0117645263672,1869.300048828125
2023-10-11,"26,876.6","27,391.9","27,475.9","26,558.4",55.78K,-1.88%,193.0310287624587,265.9303894042969,1872.800048828125
